a,b,c
-90,42,39
86,-49,53
36,-26,-86
-95,-4,-32
28,15,-21
-8,-99,15
-53,16,61
-46,38,-58
-47,-63,89
-28,73,-33
-62,-6,-56
-5,52,-7
46,5,86
-77,13,-54
-86,-19,57
-32,67,-70
76,-66,96
-28,-28,-95
35,-81,5
38,10,66
-77,-100,-76
-57,-40,100
63,-28,71
80,-13,1
-87,-4,-41
9,93,-57
-90,-93,-55
82,-93,-21
-86,-83,-53
-29,-61,-81
-34,30,28
23,18,-47
21,-24,84
77,-83,21
20,3,69
-79,84,1
50,19,96
97,-41,-7
-89,-14,59
-86,87,35
12,-76,-93
44,-76,-79
74,-7,-42
-41,29,-88
80,-85,-26
-53,92,-32
-67,83,99
-59,0,-69
55,37,-65
-33,-25,27
38,54,75
58,-26,72
-12,-56,9
-8,-26,43
93,4,42
-22,-52,-11
-89,52,67
14,23,-65
37,67,-95
-99,49,63
-18,11,51
76,-18,-41
-76,20,-21
47,-7,11
-67,-70,2
51,62,25
-90,54,34
91,-24,-56
-79,95,-43
47,89,15
-38,-93,97
70,-61,47
74,-13,65
-96,85,75
73,94,55
88,-74,-96
-97,-23,-40
-97,40,16
57,-39,-92
85,-13,-70
-44,79,64
46,-68,-21
-18,-81,53
-50,53,45
-59,22,-80
-4,-42,48
-72,-18,50
-60,77,92
-50,-74,96
62,77,-77
54,67,-90
-53,-66,-1
-62,-62,-41
-53,-97,9
46,65,-32
-15,-45,91
-1,81,62
69,-60,-65
58,90,-10
-2,70,-33
22,-9,-96
-46,-62,96
67,-1,-45
-77,-44,-31
31,25,-32
-29,-97,-70
-56,22,75
10,-94,-61
-65,-44,-4
-4,-57,-42
31,67,-90
-13,-70,-93
50,85,-42
-55,-7,18
-19,13,-66
-50,-42,-33
-87,-59,92
64,30,-21
93,14,-56
-34,-35,15
25,73,20
4,-11,-37
90,-96,92
-63,-99,-11
-13,68,-44
-13,-52,9
48,-35,-17
45,53,61
61,6,77
-11,-53,-1
-77,80,82
76,68,-98
-29,73,18
86,47,84
98,4,-75
-79,77,-95
8,-49,16
-50,57,-20
-47,-53,55
-12,12,1
-64,-47,45
-20,-10,-9
-100,-73,54
91,-39,30
-38,-17,-91
-37,93,-80
-97,90,55
94,45,3
-56,-44,-18
-35,-11,42
-60,-42,2
9,-27,-76
41,-50,-2
-62,-3,-6
-50,32,79
35,-17,-85
59,90,65
-73,55,-11
88,93,-88
-84,-75,-11
-44,29,98
-1,39,-20
67,-76,-84
-58,74,-28
-11,-23,75
32,-44,87
-54,-16,-50
-13,80,81
-77,74,21
11,-5,-12
63,20,22
43,4,15
-40,73,-38
-23,32,86
-26,-42,78
32,65,-49
78,-25,-90
-3,-60,-93
26,6,62
-33,75,-48
12,13,-8
39,34,23
19,-98,-85
33,32,75
-40,-52,9
47,-54,44
-29,-5,-33
-65,-32,-36
8,-15,82
-30,-81,35
-93,32,-82
-37,96,94
54,81,-30
-82,59,41
-27,39,11
93,77,18
-72,-45,-39
99,53,41
-72,37,-66
90,11,3
4,-92,-61
-58,6,-100
40,88,22
17,54,91
25,-58,-64
-85,-35,10
10,8,-92
-63,-81,-64
73,99,30
-61,68,85
-77,17,21
9,80,32
-96,56,19
58,79,92
64,-17,4
3,-28,-63
-58,99,-37
41,-51,-18
-87,-50,36
-94,-73,22
-57,13,48
-11,-87,-83
40,75,-34
31,90,5
-57,-32,-84
-20,-33,82
-43,-83,-96
-17,-1,-49
4,80,84
-71,-84,79
-28,-24,-9
70,-33,-45
-44,-38,75
25,68,-29
18,52,73
-17,-52,-32
10,52,-6
80,66,96
-80,15,59
79,29,-5
57,-11,-97
18,78,79
