a,b,c
-12,69,-47
-28,-58,90
32,82,-77
-88,-83,-25
-47,-32,-1
96,-24,-55
22,-19,-27
8,-100,-15
-24,77,34
-4,14,91
-61,34,27
97,-39,52
-83,-43,83
63,-9,73
61,51,-23
1,21,32
42,-71,-19
96,76,-58
93,-55,14
-89,85,-52
-68,96,-6
70,78,-96
-3,21,-43
9,-92,83
-87,-24,85
40,-94,-89
87,-42,-42
45,57,-63
71,-63,94
-53,-21,-70
53,-11,-27
11,17,79
31,-26,92
42,48,-53
-22,-70,-48
61,10,-41
-53,-48,62
-18,18,-73
-91,23,10
81,14,-29
61,39,51
-38,80,61
79,-51,-60
-49,100,-8
92,-23,15
-94,-6,-55
51,32,-86
-99,77,22
91,-36,-49
74,62,67
40,63,8
77,41,37
91,-24,-4
10,-85,65
-70,55,-50
-73,-37,-38
-86,40,94
89,68,59
49,-13,80
61,-11,21
-64,-98,-86
57,-65,-10
-50,22,58
17,64,68
-39,61,82
71,16,9
40,49,-68
-62,17,-51
-56,5,60
-31,99,33
72,-43,-54
-61,-28,58
24,94,-46
58,41,-58
16,74,4
-60,-68,20
-68,-69,89
-38,36,78
-67,79,-24
-80,-27,99
-95,-91,-95
89,5,-96
-35,81,55
73,-5,69
-17,83,-16
-1,-88,-14
73,-49,-29
-100,-54,-47
-47,17,22
-49,29,54
76,-28,-62
-97,-54,-79
-51,11,-75
35,97,-84
-58,71,-14
-5,-64,-74
45,97,0
60,61,78
-40,35,17
-2,13,73
-61,63,-2
49,-78,66
-19,-80,-31
-72,-24,-93
75,77,84
-100,69,-66
-92,-55,-64
45,-10,-35
19,100,-16
87,-62,-56
39,-94,-49
-8,86,-5
-48,-68,-36
46,21,-79
56,6,-37
26,-35,-51
-70,24,57
74,86,-55
27,-83,-37
30,-17,-89
-53,6,81
-78,17,-95
-8,-2,6
-16,-82,-98
-1,-4,-33
-58,76,87
0,77,-30
-55,59,-14
20,46,66
-24,44,84
-80,-18,44
-75,-60,95
70,-58,42
30,-85,90
25,-99,63
57,-77,18
26,-49,-46
76,-26,-61
76,-45,-34
76,-78,80
-72,45,81
-10,-79,-78
62,67,1
1,-18,32
-61,-15,-47
-71,98,-84
42,27,-65
-73,50,-32
43,99,-21
-22,56,-17
-68,-36,-97
-68,78,45
-96,89,-88
-86,62,-23
-38,2,35
86,-39,25
-39,85,-20
10,-40,-33
26,100,74
-26,-97,-38
-88,21,85
45,-62,-81
27,53,-55
56,-16,-30
32,-99,41
-80,-34,-78
-44,95,-52
-2,-50,-51
26,-83,-2
-61,-93,16
11,-73,-28
26,-95,32
43,-14,-72
16,75,-7
-77,-97,-88
69,-4,69
79,0,81
7,-34,97
39,11,-62
75,83,-41
15,-94,99
15,-87,45
15,-95,-94
49,-33,-86
-76,-80,81
12,53,-87
-81,-41,55
100,-9,69
29,-28,8
47,36,22
2,79,-33
-67,9,-8
-43,97,29
60,45,96
-60,-46,-55
-69,89,-62
69,52,28
17,45,-39
19,-84,59
-89,81,-97
7,80,-44
-98,-74,52
-69,24,42
67,49,6
79,-69,6
4,-99,40
53,-100,-17
35,10,57
-80,-65,-33
-36,43,-25
-83,-68,82
-99,76,78
-40,6,42
39,58,-59
-91,-47,38
26,83,-65
73,-74,-52
38,47,28
-26,97,80
-79,32,-10
-2,17,-73
38,-48,49
33,18,-13
-65,-19,-94
85,-75,96
-82,-46,-84
29,-100,-18
-61,-74,98
4,-7,-45
68,-28,76
45,19,44
-89,48,65
66,30,-62
21,59,81
92,-7,-26
48,51,5
-76,-18,86
25,42,-12
76,22,-24
-59,-44,59
-10,-70,20
-25,-89,64
-31,48,-97
79,11,36
-38,-88,43
-46,44,-4
-97,-27,36
-21,-37,-45
-57,-65,-28
41,48,-95
-100,-51,-93
-91,50,8
75,37,-76
-99,-74,81
42,51,65
45,-18,-84
6,64,-96
30,-84,97
80,25,22
-84,-11,-36
11,94,39
-5,-24,-63
39,32,-26
-71,-5,-1
-18,31,-18
93,67,-9
-30,-18,-83
-12,39,-94
-89,-52,15
79,-21,-22
-28,84,-32
-34,100,-96
-15,41,51
84,93,35
52,32,13
-79,-61,46
-98,89,-94
82,58,90
80,46,-83
-73,55,65
-44,91,-71
69,-84,-70
-60,82,11
-84,59,58
17,98,-87
83,16,-41
-51,-56,-18
-27,-53,-58
-73,-59,-66
20,-22,89
-42,-10,31
41,23,-87
-49,-43,-76
7,-90,-97
70,90,99
10,-33,-47
-94,37,-68
48,10,-26
-69,-78,-58
7,14,59
31,-35,50
66,-58,56
45,-56,-62
-20,56,-83
-98,-78,83
-56,-88,-62
-96,29,65
29,11,40
-59,-1,-63
37,8,-83
-32,-100,-47
-91,-98,46
20,24,-10
-65,-73,18
55,36,-77
-3,-70,10
-18,-51,88
-55,64,91
60,-85,-18
-1,-8,68
87,76,-63
-14,80,-9
5,-7,-95
-58,-54,-27
-36,36,-47
14,-94,6
49,-75,95
-94,64,21
82,-14,50
34,-1,37
60,53,-90
5,65,38
36,46,-2
92,98,-90
-24,-85,-48
-63,-76,9
32,-8,-86
-4,41,13
73,21,-96
